"","Level 2 :","Demolition","","Level 17 :","Reckless Rush","","Level 37 :","Demolition","Dismantle","","Helm","Pinpoint Visor","Gunslinger Helm","Gunslinger Helm","Gunslinger Helm","","","Level 2 :","Medicae","","Level 17 :","Advanced Tracking","","Level 37 :","Coercion","Dependable Ally","","Helm","Helm of Determination","Arbites Helmet","Arbites Helmet","Steel guidance / Retinal Analyser","","","Level 2 :","Medicae","","Level 17 :","Claim the Bounty","","Level 37 :","Awareness","Withdraw","","Helm","","Self-Calibrating Goggles","Self-Calibrating Goggles","Self-Calibrating Helm","","","Level 2 :","Demolition","","Level 17 :","Strategic Adaptation","","Level 37 :","Demolition","Brother-In-Arms","","Helm","","Adeptus Arbites Helmet","Adeptus Arbites Helmet","Steel guidance","","","Level 2 :","Coercion","","Level 17 :","Advanced Tracking","","Level 37 :","Coercion","Brother-in-Arms","","Helm","","Adeptus Arbites Helmet","Adeptus Arbites Helmet","Steel guidance","","","Level 2 :","Demolition","","Level 17 :","Claim the Bounty","","Level 37 :","Demolition","Share the Spoils","","Helm","Pinpoint Visor","Adeptus Arbites Helmet","Adeptus Arbites Helmet","Steel guidance","","","Level 2 :","Medicae","","Level 17 :","Death Whisper","","Level 37 :","Coercion","Lethal Concentration","","Helm","Tactical Goggles","Arbites Helmet","Self-Calibrating Goggles","Self-Calibrating Helm","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Revel in Slaughter","","Level 18 :","Allout","","Level 38 :","Ballistic Skill","Power Armour Proficiency","","Armour","Death World Light Flak Armour","Death World Enforcer Light Carapace","Death World Enforcer Light Carapace","Artificer Power Armour","","","Level 3 :","Endure","","Level 18 :","Joint Hunting","","Level 38 :","Weapon Skill","Power armour proficiency","","Armour","Ceramite Storm Trooper","War World Origin Tempestus Elite Carapace","War World Origin Tempestus Elite Carapace","Adherent of Mankind","","","Level 3 :","Expose Weakness","","Level 18 :","Hunting Surge","","Level 38 :","Ballistic Skill","Grenadier / Liturgy of Insulation","","Armour","Death World Light Flak Armour","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","Death World Enforcer's Light carapace","","","Level 3 :","Revel in Slaughter","","Level 18 :","Rite of Calibration","","Level 38 :","Ballistic Skill","Residual Power","","Armour","Death World Light Flak Armour","War World Origin Enforcer Carapace","War World Origin Enforcer Carapace","Hive world Origin Voidsmen Armour / Warrior Armour","","","Level 3 :","Bring it Down !","","Level 18 :","Special Training","","Level 38 :","Ballistic Skill","Grenadier","","Armour","Death World Light Flak Armour","Breacher Armour","Breacher Armour","Warrior Armour","","","Level 3 :","Revel in Slaughter","","Level 18 :","Hunting Surge","","Level 38 :","Ballistic Skill","Grenadier","","Armour","Death World Light Flak Armour","War World Origin Enforcer Carapace","War World Origin Enforcer Carapace","Hive world Origin Voidsmen Armour / Warrior Armour","","","Level 3 :","Expose Weakness","","Level 18 :","Deadly Calculation","","Level 38 :","Ballistic Skill","Lethal Precision","","Armour","Death World Light Flak Armour","Breacher Armour","Breacher Armour","Warrior Armour / High Spinner Armour","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Firearm Mastery","Point-Blank","Level 19 :","Steady Superiority","","Level 39 :","Entrench","Demolition","","Cloak","","Tactical Backpack / Cloak of Hatred","Tactical Backpack / Cloak of Hatred","Tactical Backpack / Cloak of Hatred","","","Level 4 :","Daring Breach","Thick skin","Level 19 :","Overcharge","","Level 39 :","Sworn Enemy","Coercion","","Cloak","Xenopelt Cloak","Swashbuckler Cloak / Malpain Shroud","Swashbuckler Cloak / Malpain Shroud","Swashbuckler Cloak / Malpain Shroud","","","Level 4 :","Dismantling","Tide of Excellence","Level 19 :","Wild Hunt","","Level 39 :","Joint Analysis","Awareness","","Cloak","","Cloak Of Hatred","Cloak Of Hatred","Cloak Of Hatred","","","Level 4 :","Firearm Mastery","Point-Blank","Level 19 :","Overcharge","","Level 39 :","Entrench","Demolition","","Cloak","Camouflage Robe","Cloak of Hatred / Tactical Backpack","Cloak of Hatred / Tactical Backpack","Cloak of Hatred / Tempestus Elite crapace backpack","","","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Overcharge","","Level 39 :","Air of Authority","Coercion","","Cloak","Camouflage Robe","Tactical Backpack","Tactical Backpack","Tempestus Elite crapace backpack","","","Level 4 :","Firearm Mastery","Point-Blank","Level 19 :","Wild Hunt","","Level 39 :","Entrench","Demolition","","Cloak","Camouflage Robe","Cloak of Hatred / Tactical Backpack","Cloak of Hatred / Tactical Backpack","Cloak of Hatred / Tempestus Elite crapace backpack","","","Level 4 :","Dismantling Attack","Tide of Excellence","Level 19 :","Dispatch","","Level 39 :","Tactical Knowledge","Coercion","","Cloak","Von Valancius Cloak","Tactical Backpack","Tactical Backpack","Tempestus Elite Carapace Backpack","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ballistic Skill","Demolition Engineer","Level 20 :","AP +1","Ballistic Skill","Level 40 :","Degraded Defence","Distract","","Neck","","Dog Tags","Dog Tags","Dog Tags","","","Level 5 :","Ramming Speed","Weapon Skill","Level 20 :","Ap +1","Weapon Skill","Level 40 :","Destroyer","Suppressive Factor","","Neck","Grace of the Oblivious","Solid Shield Enarmes / Invigorating Resolve","Solid Shield Enarmes / Invigorating Resolve","Conmilitum Badge / Invigorating Resolve","","","Level 5 :","Ballistic Skill","Never Stop Believing","Level 20 :","AP +1 - Ballistic Skill","Residual Charge","Level 40 :","Degraded Defence","Inspiring Trophy","","Neck","Hypnotising Pendant","Hypnotising Pendant","Hypnotising Pendant","Synpatic Coagulator","","","Level 5 :","Ballistic Skill","Demolition Engineer","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Eager Surbordinates ","Relentless Pursuit","","Neck","","Ironclad Argument","Ironclad Argument","Ironclad Argument / Vial of Falstow","","","Level 5 :","Ballistic Skill","Lawful Intervention","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Eager Subordinates","Autonomous Medikit","","Neck","","Chartist Pendant","Chartist Pendant","Chartist Pendant","","","Level 5 :","Ballistic Skill","Demolition Engineer","Level 20 :","AP +1 - Ballistic Skill","Law and Order","Level 40 :","Extermination","Expert Finesse","","Neck","","Ironclad Argument","Ironclad Argument","Ironclad Argument / Vial of Falstow","","","Level 5 :","Ballistic Skill","Be Smart","Level 20 :","AP +1","Ballistic Skill","Level 40 :","Deathdealer","Seize the Advantage","","Neck","Hypnotising Pendant","Trajectory Optimiser / Dog Tags","Trajectory Optimiser / Dog Tags","Dashing Aquila / Dog Tags / The Vial of Falstow","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Ballistic Skill","Concentrated Fire","Level 21 :","Always Ready","Ballistic Skill","Level 41 :","Ballistic Skill","Rack and Ruin","","Accessory 1","Mark of the Ruler","Combat Manipulator","Iron Cape","Demolition Instructions","","","Level 6 :","Taunting Scream","Coercion","Level 21 :","Master's Patronage","Weapon Skill","Level 41 :","Weapon Skill","Crowd Kill","","Accessory 1","First Aid Manual","Sturdy Shield Straps","Sturdy Shield Straps","Sturdy Shield Straps","","","Level 6 :","Uncanny Sight","Ballistic Skill","Level 21 :","Ballistic Skill","Hunter's Ambush","Level 41 :","Ballistic Skill","Comprehensive Analysis","","Accessory 1","Metronome","Metronome","Metronome","Vid-Capture Relay","","","Level 6 :","Ballistic Skill","Concentrated fire","Level 21 :","Enhanced Augmetics","Ballistic Skill","Level 41 :","Ballistic Skill","Camaraderie","","Accessory 1","Mark of the Ruler","Hadd-Pattern Data-Loom","Hadd-Pattern Data-Loom","Portable Motive Force Storage","","","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Enhanced Augmetics","Ballistic Skill","Level 41 :","Ballistic Skill","Inspiring speech","","Accessory 1","Mark of the Ruler","Hadd-Pattern Data-Loom","Hadd-Pattern Data-Loom","Portable Motive Force Storage","","","Level 6 :","Ballistic Skill","Concentrated fire","Level 21 :","Ballistic Skill","Heightened Concentration","Level 41 :","Ballistic Skill","Rack and Ruin","","Accessory 1","Mark of the Ruler","Hadd-Pattern Data-Loom","Hadd-Pattern Data-Loom","Portable Motive Force Storage","","","Level 6 :","Uncanny Sight","Ballistic Skill","Level 21 :","Imminent Demise","Ballistic Skill","Level 41 :","Ballistic Skill","Improved Tactics","","Accessory 1","Metronome","Pair Holster","Pair Holster","Pair Holster / Saint Cognacius' Scriptures","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Agility","Lawful Intervention","Level 22 :","Wildfire","Breaking Point","Level 42 :","Kick","Agility","","Accessory 2","Book of war prayers","Enemy Finder","Enemy Finder","Bead of Might","","","Level 7 :","Weapon Skill","The Steady Hand of Justice","Level 22 :","Strategic Adaptation","Coercion","Level 42 :","Bite!","Toughness","","Accessory 2","","Portable Motive Force Storage","Portable Motive Force Storage","Portable Motive Force Storage","","","Level 7 :","That's an Order!","Awareness","Level 22 :","Cull the bold","","Level 42 :","In the Name of the Lex Imperialis!","Intelligence","","Accessory 2","","Enemy Finder","Iron Cape","Long-Range Aim Lens","","","Level 7 :","Agility","Lawful Intervention","Level 22 :","Advanced Tracking","Demolition","Level 42 :","Bite!","Agility","","Accessory 2","Book of war prayers","Force Field Emitter","Force Field Emitter","Demolition Instructions","","","Level 7 :","Move Move Move","Armour-Piercing","Level 22 :","Strategic Adaptation","Coercion","Level 42 :","Bite!","Fellowship","","Accessory 2","Book of war prayers","Saint Cognacius' Scriptures","Saint Cognacius' Scriptures","Saint Cognacius' Scriptures","","","Level 7 :","Agility","Lawful Intervention","Level 22 :","Cull the bold","","Level 42 :","Grisly Adjudication","Agility","","Accessory 2","Book of war prayers","Force Field Emitter","Force Field Emitter","Demolition Instructions","","","Level 7 :","Perfect Spot","Coercion","Level 22 :","Coercion","Killing Edge","Level 42 :","Poised to Strike","Intelligence","","Accessory 2","","Saint Cognacius' Scriptures","Saint Cognacius' Scriptures","Notes on Weaknesses","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Fired Up","Demolition","Level 23 :","Demolition","Heavy Gunner","Level 43 :","Ingenious","Residual Power","","Gloves","Relished Anguish","Recoil Gloves","Gloves of Rapid Desolation","Compensator Gloves","","","Level 8 :","Coercion","Impetus","Level 23 :","Enhanced Augmetics","","Level 43 :","Public Sentencing","Shield Mastery","","Gloves","Relished Anguish","Augmented Gloves","Augmented Gloves","Augmented Gloves","","","Level 8 :","Ballistic Calculation","Lawful Intervention","Level 23 :","Flay the bold","Awareness","Level 43 :","Pierce the Armour","Lethal Precision","","Gloves","Stalker Gloves","Marksman Bracers","Marksman Bracers","Apex Predator Gloves","","","Level 8 :","Fired up","Demolition","Level 23 :","Side by Side","","Level 43 :","Prepared Prosecution","High Resistance","","Gloves","Relished Anguish","Relished Anguish","Marksman Bracers","Elastic Gloves / Compensator Gloves","","","Level 8 :","Focus!","Coercion","Level 23 :","Rite of Calibration","","Level 43 :","Arbites Physical Training","Residual Power","","Gloves","Relished Anguish","Relished Anguish","Gloves of Rapid Desolation","Gloves of Rapid Desolation","","","Level 8 :","Fired up","Demolition","Level 23 :","Flay the bold","Demolition","Level 43 :","Savour the kill","Residual Power","","Gloves","Relished Anguish","Relished Anguish","Marksman Bracers","Elastic Gloves / Compensator Gloves","","","Level 8 :","Lawful Intervention","Liturgy of Insulation","Level 23 :","Lethality Heightens","","Level 43 :","Flawless Lunge","Calculated Resolve","","Gloves","Stalker Gloves","Marksman Bracers","Marksman Bracers / Gloves of Rapid Desolation","Marksman Bracers / Compensator Gloves","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Firearm Mastery II","","Level 24 :","Agility","Overpower","Level 44 :","Coercion","Extermination","","Boots","Warmonger Boots","Breezecatcher boots","Recoil Warboots","Caligae of Saint Keefe","","","Level 9 :","Daring Breach II","","Level 24 :","Toughness","Melee Weapon Specialist","Level 44 :","Athletics","Degraded Defence","","Boots","Pneumo Boots","Pneumo Boots","Pneumo Boots","Enforcer Light Boots / Void veteran boots","","","Level 9 :","Dismantling III","Awareness","Level 24 :","Intelligence","Law and Order","Level 44 :","Coercion","Deadly Aim ","","Boots","Warmonger Boots","Warmonger Boots","Sharpshooter's Boots","Sharpshooter Boots","","","Level 9 :","Firearm Mastery I","","Level 24 :","Agility","Armour-Piercing","Level 44 :","Coercion","Extermination","","Boots","","Warmonger Boots","Warmonger Boots","Heavy Breacher Boots / Navy Breacher Boots","","","Level 9 :","Finest Hour IV","","Level 24 :","Fellowship","Shotgun Mastery","Level 44 :","Lore Imperium","Degraded Defence","","Boots","Warmonger Boots","Commissar Boots","Commissar Boots","Commissar Boots","","","Level 9 :","Firearm Mastery I","","Level 24 :","Agility","Armour-Piercing","Level 44 :","Coercion","Vital Points","","Boots","","Warmonger Boots","Warmonger Boots","Heavy Breacher Boots / Navy Breacher Boots","","","Level 9 :","Dismantling Attack III","Coercion","Level 24 :","Intelligence","Residual Charge","Level 44 :","Lore Imperium","Masterful Precision","","Boots","Warmonger Boots","Warmonger Boots","Sharpshooter's Boots","Sharpshooter's Boots","","","","","","","","","","","","","","","","","",""
"","Level 10 :","Swift Slaughter / Alacrity","Agility","Level 25 :","Flashfire","","Level 45 :","AP +1","","","Weapon Set 1","The RIpper","Heavy Stubber","Heavy Stubber","Advanced Heavy Stubber / Righteous Anger","","","Level 10 :","Open Engagement","Strength","Level 25 :","Brother-In-Arms","","Level 45 :","AP +1","","","Weapon Set 1","Balanced Maul","Heavy Maul","Heavy Maul","Heavy Maul / Coffinmaker's Sledge","","","Level 10 :","Coercion","Intelligence","Level 25 :","Heightened Concentration","","Level 45 :","AP +1","","","Weapon Set 1","Arc Rifle","Alpha's Arc Rifle","Alpha's Arc Rifle","Corpuscarii Oath","","","Level 10 :","Swift Slaughter / Alacrity","Agility","Level 25 :","Chain-Maw","","Level 45 :","AP +1","","","Weapon Set 1","Blast Wave","Nullifying Shotgun","Mars Pattern Shotgun","Double-Barreled Shotgun","","","Level 10 :","Lore Imperium","Fellowship","Level 25 :","Chain-Maw","","Level 45 :","AP +1","","","Weapon Set 1","foehammer","Nullifying Shotgun","Mars Pattern Shotgun","Double-Barreled Shotgun","","","Level 10 :","Swift Slaughter / Alacrity","Agility","Level 25 :","Inspiring Trophy","","Level 45 :","AP +1","","","Weapon Set 1","Blast Wave","Nullifying Shotgun","Mars Pattern Shotgun","Double-Barreled Shotgun","","","Level 10 :","Lore Imperium","Intelligence","Level 25 :","Perfect Opening","","Level 45 :","Ap +1","","","Weapon Set 1","Arc Rifle","Alpha's Arc Rifle","Alpha's Arc Rifle","Arc Rifle Mindstorm / Corpuscarii Oath","","","","","","","","","","","","","","","","","",""
"","Level 11 :","Rapid Fire","Coercion","Level 26 :","Demolition","Agility","Level 46 :","Muzzle Velocity","Coercion","","","","","","","","","Level 11 :","Reckless Strike","Heavy Armour Proficiency","Level 26 :","Toughness","Coercion","Level 46 :","Hardened Scars","Athletics","","","Stronghold","Radiant Shield","Heavy Shield","Advanced Shield","","","Level 11 :","Fresh Target","Coercion","Level 26 :","Awareness","Intelligence","Level 46 :","Continuous Analysis","Coercion","","","","","","","","","Level 11 :","Rapid Fire","Coercion","Level 26 :","Agility","Demolition","Level 46 :","Rack and Ruin","Coercion","","","Reflective Shield","Insulator Shield","Insulator Shield","Gunnery Shield","","","Level 11 :","Personal Oversight","Fellowship","Level 26 :","Fellowship","Coercion","Level 46 :","Leader's Assault","Lore Imperium","","","Reflective Shield","Insulator Shield","Insulator Shield","Gunnery Shield","","","Level 11 :","Rapid Fire","Coercion","Level 26 :","Demolition","Agility","Level 46 :","Enough Bullets for Everyone","Coercion","","","Reflective Shield","Insulator Shield","Insulator Shield","Gunnery Shield","","","Level 11 :","Ballistics Calculation","Lore Imperium","Level 26 :","Intelligence","Coercion","Level 46 :","Continuous Analysis","Lore Imperium","","","","","","","","","","","","","","","","","","","","","","","",""
